autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor,conteudo_tokens,conteudo_stem,conteudo_lema
Kamila A.,4.0,"O cartaz de “Medianeras: Buenos Aires na Era do Amor Virtual”, filme escrito e dirigido por Gustavo Toretto, faz a seguinte pergunta: “como encontrar o amor se você não sabe onde ele está?”. Eu diria ainda mais depois de assistir ao longa: como encontrar o amor se você não sabe onde ele está e, principalmente, se você não faz praticamente nada para encontrá-lo? É essa a situação em que estão os dois personagens centrais da obra: Martin (Javier Drolas) e Mariana (Pilar López de Ayala).Os dois vivem na mesma rua, são praticamente vizinhos de prédio, foram feitos um pro outro (isso fica claro para a plateia na medida em que vamos conhecendo as personagens), mas nunca se encontraram ou se viram, casualmente, na rua. Martin vive confinado dentro do seu apartamento e faz tudo que ele precisa para viver dali de dentro (trabalha, faz compras no supermercado e se diverte). Mariana também evita ao máximo sair de casa – só o faz isso se precisa desempenhar o seu trabalho como vitrinista. Cada um tem uma desculpa para isso: Martin diz que tem uma fobia, enquanto Mariana diz que o seu medo de elevador a faz pensar duas vezes antes de sair de casa.Apesar de viverem uma vida estritamente solitária, Martin e Mariana não eram tão sozinhos assim. Os dois vêm de relacionamentos recentemente terminados e estão naquela fase em que desejam (inconscientemente) conhecer novas pessoas, mas ainda estão com medo e com as marcas do que viveram no passado. Ao inserirem-se novamente no grande mundo, numa cidade de 3 milhões de habitantes, voltamos à pergunta inicial do cartaz de “Medianeras: Buenos Aires na Era do Amor Virtual”: como encontrar o amor?Isso fica ainda mais difícil em se tratando de duas personalidades extremamente introvertidas. Isso fica ainda mais difícil quando consideramos o fato de que, atualmente, nosso mundo é virtual, passado em frente às telas de computadores, smartphones e tablets, construindo relacionamentos que são mais virtuais do que reais. O filme escrito e dirigido por Gustavo Toretto faz um retrato muito interessante sobre a nossa sociedade atual. A verdade é que deixamos de perceber o mundo ao nosso redor e, principalmente, as pessoas que fazem parte do nosso dia a dia. Para nós, é mais confortável estabelecer um relacionamento com uma máquina, de uma forma totalmente impessoal; do que um relacionamento real – e isso também é uma forma de nos defendermos de decepções e do sofrimento.Retornando à pergunta que move “Medianeras: Buenos Aires na Era do Amor Virtual”, é interessante também perceber a metáfora utilizada por Gustavo Toretto. Para o diretor e roteirista, encontrar o amor, hoje em dia, é uma tarefa difícil, é quase como tentar achar Wally no livro “Onde Está Wally?”. Porém, a maior constatação que tiramos do longa é que, apesar de “Medianeras: Buenos Aires na Era do Amor Virtual” ser um filme feito em 2011, a obra continua atualíssima e nos faz refletir sobre algo que é tão simples, entretanto muito maior: deixemos de ficar vidrados nas telas, passemos a olhar o mundo ao nosso redor, porque o seu grande amor pode estar ao seu lado e você nunca percebeu isso antes.",816.0,7873.0,cartaz “ medianeras buenos aires amor virtual ” filme escrito dirigido gustavo toretto seguinte pergunta “ encontrar amor ” diria assistir longa encontrar amor principalmente praticamente encontrá-lo situação personagens centrais obra martin javier drolas mariana pilar lópez ayala).os vivem mesma rua praticamente vizinhos prédio feitos pro outro fica claro plateia medida vamos conhecendo personagens encontraram viram casualmente rua martin vive confinado apartamento precisa viver dali trabalha compras supermercado diverte mariana evita sair casa – precisa desempenhar trabalho vitrinista desculpa martin fobia mariana medo elevador pensar sair casa apesar viverem vida estritamente solitária martin mariana eram sozinhos relacionamentos recentemente terminados fase desejam inconscientemente conhecer pessoas medo marcas viveram passado inserirem-se novamente mundo cidade 3 milhões habitantes voltamos pergunta inicial cartaz “ medianeras buenos aires amor virtual ” encontrar amor?isso fica difícil tratando personalidades extremamente introvertidas fica difícil consideramos fato atualmente mundo virtual passado frente telas computadores smartphones tablets construindo relacionamentos virtuais reais filme escrito dirigido gustavo toretto retrato interessante sociedade atual verdade deixamos perceber mundo redor principalmente pessoas dia dia confortável estabelecer relacionamento máquina totalmente impessoal relacionamento real – defendermos decepções sofrimento retornando pergunta move “ medianeras buenos aires amor virtual ” interessante perceber metáfora utilizada gustavo toretto diretor roteirista encontrar amor hoje dia tarefa difícil quase achar wally livro “ wally ” constatação tiramos longa apesar “ medianeras buenos aires amor virtual ” filme feito 2011 obra continua atualíssima refletir simples entretanto deixemos ficar vidrados telas passemos olhar mundo redor amor percebeu,cartaz “ median buen air am virtual ” film escrit dirig gustav torett seguint pergunt “ encontr am ” dir assist long encontr am princip pratic encontrá-l situ person centr obr martin javi drol mari pil lópez ayala). viv mesm rua pratic vi prédi feit pro outr fic clar plate med vam conhec person encontr vir cas rua martin viv confin apart precis viv dal trabalh compr supermerc divert mari evit sair cas – precis desempenh trabalh vitrin desculp martin fob mari med elev pens sair cas apes viv vid estrit solitár martin mari er so relacion recent termin fas desej inconsci conhec pesso med marc viv pass inserirem-s nov mund cidad 3 milhã habit volt pergunt inic cartaz “ median buen air am virtual ” encontr amor?iss fic difícil trat personal extrem introvert fic difícil consider fat atual mund virtual pass frent tel comput smartphon tablet constru relacion virtual real film escrit dirig gustav torett retrat interess sociedad atual verdad deix perceb mund redor princip pesso dia dia confort estabelec relacion máquin total impesso relacion real – defend decepç sofr retorn pergunt mov “ median buen air am virtual ” interess perceb metáf utiliz gustav torett dire roteir encontr am hoj dia taref difícil quas ach wally livr “ wally ” constat tir long apes “ median buen air am virtual ” film feit 2011 obr continu atual reflet simpl entretant deix fic vidr tel pass olh mund redor am perceb,cartaz “ medianera Buenos air amor virtual ” filme escrito dirigir Gustavo toretto seguinte perguntar “ encontrar amor ” dir assistir longo encontrar amor principalmente praticamente encontrár lo situação personagem central obra Martin Javier drolas Mariana pilar López ayala).os viver mesmo rua praticamente vizinho prédio fazer pro outro ficar claro plateia medir ir conhecer personagem encontrar virar casualmente rua Martin viver confinar apartamento precisar viver de ali trabalhar compra supermercado diverte Mariana evitaer sair casa – precisar desempenhar trabalho vitrinista desculpa Martin fobia Mariana medo elevador pensar sair casa apesar viver vida estritamente solitário martin Mariana ser sozinho relacionamento recentemente terminar fase desejar inconscientemente conhecer pessoa medo marca viver passado inserirem-se novamente mundo cidade 3 milhão habitante voltar perguntar inicial cartaz “ medianera Buenos air amor virtual ” encontrar amor?isso ficar difícil tratar personalidade extremamente introvertido ficar difícil considerar fato atualmente mundo virtual passado frente tela computador smartphone tablets construir relacionamento virtual real filme escrito dirigir Gustavo toretto retrato interessante sociedade atual verdade deixar perceber mundo redor principalmente pessoa dia dia confortável estabelecer relacionamento máquina totalmente impessoal relacionamento real – defender decepção sofrimento retornar pergunta movar “ medianera Buenos air amor virtual ” interessante perceber metáfora utilizar Gustavo toretto diretor roteirista encontrar amor hoje dia tarefa difícil quase achar wally livro “ wally ” constatação tirar longo apesar “ medianera Buenos air amor virtual ” filme fazer 2011 obra continuar atualíssimar refletir simples entretanto deixer ficar vidrado tela passer olhar mundo redor amor perceber
Pedro R.,4.0,"Se você quiser ver o verdadeiro drama dos romances de hoje, esse filme é a melhor crítica que você poderá ver. Um filme bastante questionador e moderno. Os textos são inteligentes e não são sobre aspectos pessoais do personagem. Ou seja, você consegue se sentir inserido nos discursos de cada um deles.Há várias metáforas muito bem ilustradas e fáceis de entender. Também gostei de uma associação muito inteligente sobre procurar o seu “Wally”, como nos livros de criança. Procurar o Wally parece fácil, mas quando se trata de procurá-lo na cidade é uma tarefa muito mais difícil do que se parece. Diferente e moralista! Gostei bastante!",46.0,32.0,quiser verdadeiro drama romances hoje filme melhor crítica filme questionador moderno textos inteligentes aspectos pessoais personagem seja consegue sentir inserido discursos deles há várias metáforas ilustradas fáceis entender gostei associação inteligente procurar “ wally ” livros criança procurar wally fácil trata procurá-lo cidade tarefa difícil diferente moralista gostei,quis verd dram romanc hoj film melhor crít film question modern text intelig aspect pessoal person sej conseg sent inser discurs del há vár metáf ilustr fácel entend gost associ intelig procur “ wally ” livr crianç procur wally fácil trat procurá-l cidad taref difícil difer moral gost,querer verdadeiro drama romance hoje filme bom crítico filme questionador moderno texto inteligente aspecto pessoal personagem ser conseguir sentir inserir discurso de eles há várias metáfora ilustrar fácil entender gostar associação inteligente procurar “ wally ” livro criança procurar wally fácil tratar procurá-lo cidade tarefa difícil diferente moralista gostar
Bruno Campos,5.0,"Raríssimas vezes conseguimos ver no cinema uma comédia romântica inteligente. Articulando um excelente roteiro, personagens em perfeita sintonia, ótimas atuações, e ainda uma deliciosa e precisa trilha sonora, este filme argentino emociona, além, é claro, de inserir ao fundo a crônica crise financeira do país – retratada pelas próprias medianeras (paredes sem janela, onde no filme abrem algumas proibidas, como um grito de fôlego), ou pelas raias entupidas de nadadores se esbarrando numa piscina, ou pelos objetos jogados no lixo por uns e recolhidos por outros. Destaque para a metáfora sutil e nada piegas da protagonista nunca conseguindo “achar Wally”, numa específica página de seu livro “Onde está Wally?” – exatamente como tudo na vida de cada um de nós, cronicamente nunca enxergamos os mesmos pontos cegos. Prêmio do Público da Mostra Panorama do Festival de Berlim.",262.0,622.0,raríssimas conseguimos cinema comédia romântica inteligente articulando excelente roteiro personagens perfeita sintonia ótimas atuações deliciosa precisa trilha sonora filme argentino emociona claro inserir fundo crônica crise financeira país – retratada próprias medianeras paredes janela filme abrem proibidas grito fôlego raias entupidas nadadores esbarrando piscina objetos jogados lixo recolhidos destaque metáfora sutil piegas protagonista conseguindo “ achar wally ” específica página livro “ wally ” – exatamente vida cronicamente enxergamos mesmos cegos prêmio público mostra panorama festival berlim,rar consegu cinem coméd român intelig articul excel rot person perfeit sinton ótim atu delici precis trilh son film argentin emoc clar inser fund crôn cris financ país – retrat própr median pared janel film abr proib grit fôleg rai entup nad esbarr piscin objet jog lix recolh destaqu metáf sutil pieg protagon consegu “ ach wally ” específ págin livr “ wally ” – exat vid cronic enxerg mesm ceg prêmi públic mostr panoram festiv berlim,raríssimo conseguir cinema comédia romântico inteligente articular excelente roteiro personagem perfeito sintonia ótimo atuação delicioso precisar trilha sonoro filme argentino emocionar claro inserir fundo crônico crise financeiro país – retratadar próprio medianera parede janela filme abrir proibida grito fôlego raia entupir nadador esbarrar piscina objeto jogar lixo recolher destaque metáfora sutil piegas protagonista conseguir “ achar wally ” específico página livro “ wally ” – exatamente vida cronicamente enxergar mesmo cego prêmio público mostrar panorama festival Berlim
Camila Reis,4.0,"Interessante, criativo, boa narrativa, boa fotografia, boas atuações, péssima finalização.",103.0,64.0,interessante criativo narrativa fotografia boas atuações péssima finalização,interess cria narr fotograf boa atu péss final,interessante criativo narrativa fotografiar bom atuação péssimo finalização
Pitacos.cinematográficos,4.5,"Medianeras, que originalmente era um curta-metragem e depois ganhou a versão de longa, se enquadra nessa categoria. A abertura do filme já é um primor, mostrando o mar de prédios da capital portenha enquanto o narrador em off analisa que BA´s é uma cidade que dá as costas ao seu rio e que a urbanização é totalmente caótica, com prédios altos do lado de baixos, novos do lado de velhos e outros contrastes que deterioram o ambiente urbano. Parte daí a análise se tal caos no planejamento não se espelha em nossas vidas.[Leia a crítica completa no link do meu blog]",71.0,27.0,medianeras originalmente curta-metragem ganhou versão longa enquadra categoria abertura filme primor mostrando mar prédios capital portenha narrador off analisa ba´s cidade costas rio urbanização totalmente caótica prédios altos baixos velhos contrastes deterioram ambiente urbano daí análise caos planejamento espelha vidas.[leia crítica completa link blog,median orig curta-metr ganh vers long enquadr categor abert film prim mostr mar prédi capit portenh narr off analis ba´ cidad cost rio urban total caó prédi alt baix velh contr deterior ambi urban daí anális cao planej espelh vidas.[le crít complet link blog,medianera originalmente curta-metragem ganhar versão longo enquadr categoria aberturar filme primor mostrar mar prédio capital porter narrador off analisar ba´s cidade costa rio urbanização totalmente caótico prédio alto baixo velho contraste deterioram ambiente urbano de aí análise caos planejamento espelhar vidas.[leia crítico completar link blog
Elaine L.,3.0,Comédia romântica bem água com açúcar. Típico filme para ver naqueles dias em que não temos nada melhor pra fazer... Legal.,13.0,17.0,comédia romântica água açúcar típico filme naqueles dias melhor pra ... legal,coméd român águ açúc típic film naquel dia melhor pra ... legal,comédia romântico água açúcar típico filme em aquele dia bom pra ... legal
Luciano Deppa B,3.5,"Narrativas por vezes cansativas, Medianeiras sabe cativar e conduzir o espectador.",9.0,23.0,narrativas cansativas medianeiras cativar conduzir espectador,narr cans median cativ conduz espect,narrativa cansativo medianeiro cativar conduzir espectador
milarodrigues,5.0,"Me recomendaram na mesma lista que estava Amelie Poulain, que ainda não vi, e as Vantagens de ser invisível, que me acabou. meu favorito a partir de hoje!",2.0,18.0,recomendaram mesma lista amelie poulain vi vantagens invisível acabou favorito hoje,recomend mesm list ameli poulain vi vantag invis acab favorit hoj,recomendar mesmo lista amelie poulain ver vantagem invisível acabar favorito hoje
Talles D.,4.0,"Filme que conta sobre um encontro bobo, como varios da vida!! O que torna um grande filme, na minha visao, sao os textos, analogias e metaforas utilizadas, que induzem a refletir sobre as paredes e condicionamentos a que estamos sujeitos!!!!",18.0,3.0,filme conta encontro bobo varios vida torna filme visao sao textos analogias metaforas utilizadas induzem refletir paredes condicionamentos estamos sujeitos,film cont encontr bob vari vid torn film visa sao text analog metaf utiliz induz reflet pared condicion est sujeit,filme contar encontro bobo vario vida tornar filme visao sao texto analogia metafora utilizar induzir refletir parede condicionamento estar sujeito
Letisassi,0.5,"HORRÍVEL! Filme depressivo, com personagens problemáticos e depressivos, com uma cidade depressiva, vidas amorosas mal sucedidas, carreiras mal sucedidas... Mostra uma realidade DEPRESSIVA de Buenos Aires onde cachorros se suicidam, pessoas dependem de remédios para ansiedade, depressão... Uma cidade em que todo mundo fuma, nada e transa com manequins.E para piorar o filme muda o sentido no final, ao invés de continuar mostrando uma realidade, ele vira um conto de fadas onde tudo da certo no final. O QUE ESTÁ ERRADO POIS NA VIDA REAL NO FINAL TODO MUNDO MORRE!",2.0,,horrível filme depressivo personagens problemáticos depressivos cidade depressiva vidas amorosas sucedidas carreiras sucedidas ... mostra realidade depressiva buenos aires cachorros suicidam pessoas dependem remédios ansiedade depressão ... cidade mundo fuma transa manequins piorar filme muda sentido invés continuar mostrando realidade vira conto fadas certo errado vida real mundo morre,horr film depress person problemá depress cidad depress vid amor suced carr suced ... mostr real depress buen air cachorr suicid pesso depend remédi ansiedad depress ... cidad mund fum trans manequim pior film mud sent invé continu mostr real vir cont fad cert err vid real mund morr,horrível filme depressivo personagem problemático depressivo cidade depressivo vida amoroso sucedir carreira sucedir ... mostrar realidade depressivo buenos air cachorro suicidar pessoa depender remédio ansiedade depressão ... cidade mundo fumar transar manequim piorar filme mudar sentido invés continuar mostrar realidade virar conto far certo errar vida real mundo morrer
