nome_filme,autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor
Medianeras: Buenos Aires na Era do Amor Virtual,Kamila A.,4.0,"O cartaz de “Medianeras: Buenos Aires na Era do Amor Virtual”, filme escrito e dirigido por Gustavo Toretto, faz a seguinte pergunta: “como encontrar o amor se você não sabe onde ele está?”. Eu diria ainda mais depois de assistir ao longa: como encontrar o amor se você não sabe onde ele está e, principalmente, se você não faz praticamente nada para encontrá-lo? É essa a situação em que estão os dois personagens centrais da obra: Martin (Javier Drolas) e Mariana (Pilar López de Ayala).Os dois vivem na mesma rua, são praticamente vizinhos de prédio, foram feitos um pro outro (isso fica claro para a plateia na medida em que vamos conhecendo as personagens), mas nunca se encontraram ou se viram, casualmente, na rua. Martin vive confinado dentro do seu apartamento e faz tudo que ele precisa para viver dali de dentro (trabalha, faz compras no supermercado e se diverte). Mariana também evita ao máximo sair de casa – só o faz isso se precisa desempenhar o seu trabalho como vitrinista. Cada um tem uma desculpa para isso: Martin diz que tem uma fobia, enquanto Mariana diz que o seu medo de elevador a faz pensar duas vezes antes de sair de casa.Apesar de viverem uma vida estritamente solitária, Martin e Mariana não eram tão sozinhos assim. Os dois vêm de relacionamentos recentemente terminados e estão naquela fase em que desejam (inconscientemente) conhecer novas pessoas, mas ainda estão com medo e com as marcas do que viveram no passado. Ao inserirem-se novamente no grande mundo, numa cidade de 3 milhões de habitantes, voltamos à pergunta inicial do cartaz de “Medianeras: Buenos Aires na Era do Amor Virtual”: como encontrar o amor?Isso fica ainda mais difícil em se tratando de duas personalidades extremamente introvertidas. Isso fica ainda mais difícil quando consideramos o fato de que, atualmente, nosso mundo é virtual, passado em frente às telas de computadores, smartphones e tablets, construindo relacionamentos que são mais virtuais do que reais. O filme escrito e dirigido por Gustavo Toretto faz um retrato muito interessante sobre a nossa sociedade atual. A verdade é que deixamos de perceber o mundo ao nosso redor e, principalmente, as pessoas que fazem parte do nosso dia a dia. Para nós, é mais confortável estabelecer um relacionamento com uma máquina, de uma forma totalmente impessoal; do que um relacionamento real – e isso também é uma forma de nos defendermos de decepções e do sofrimento.Retornando à pergunta que move “Medianeras: Buenos Aires na Era do Amor Virtual”, é interessante também perceber a metáfora utilizada por Gustavo Toretto. Para o diretor e roteirista, encontrar o amor, hoje em dia, é uma tarefa difícil, é quase como tentar achar Wally no livro “Onde Está Wally?”. Porém, a maior constatação que tiramos do longa é que, apesar de “Medianeras: Buenos Aires na Era do Amor Virtual” ser um filme feito em 2011, a obra continua atualíssima e nos faz refletir sobre algo que é tão simples, entretanto muito maior: deixemos de ficar vidrados nas telas, passemos a olhar o mundo ao nosso redor, porque o seu grande amor pode estar ao seu lado e você nunca percebeu isso antes.",816.0,7873.0
Medianeras: Buenos Aires na Era do Amor Virtual,Pedro R.,4.0,"Se você quiser ver o verdadeiro drama dos romances de hoje, esse filme é a melhor crítica que você poderá ver. Um filme bastante questionador e moderno. Os textos são inteligentes e não são sobre aspectos pessoais do personagem. Ou seja, você consegue se sentir inserido nos discursos de cada um deles.Há várias metáforas muito bem ilustradas e fáceis de entender. Também gostei de uma associação muito inteligente sobre procurar o seu “Wally”, como nos livros de criança. Procurar o Wally parece fácil, mas quando se trata de procurá-lo na cidade é uma tarefa muito mais difícil do que se parece. Diferente e moralista! Gostei bastante!",46.0,32.0
Medianeras: Buenos Aires na Era do Amor Virtual,Bruno Campos,5.0,"Raríssimas vezes conseguimos ver no cinema uma comédia romântica inteligente. Articulando um excelente roteiro, personagens em perfeita sintonia, ótimas atuações, e ainda uma deliciosa e precisa trilha sonora, este filme argentino emociona, além, é claro, de inserir ao fundo a crônica crise financeira do país – retratada pelas próprias medianeras (paredes sem janela, onde no filme abrem algumas proibidas, como um grito de fôlego), ou pelas raias entupidas de nadadores se esbarrando numa piscina, ou pelos objetos jogados no lixo por uns e recolhidos por outros. Destaque para a metáfora sutil e nada piegas da protagonista nunca conseguindo “achar Wally”, numa específica página de seu livro “Onde está Wally?” – exatamente como tudo na vida de cada um de nós, cronicamente nunca enxergamos os mesmos pontos cegos. Prêmio do Público da Mostra Panorama do Festival de Berlim.",262.0,622.0
Medianeras: Buenos Aires na Era do Amor Virtual,Camila Reis,4.0,"Interessante, criativo, boa narrativa, boa fotografia, boas atuações, péssima finalização.",103.0,64.0
Medianeras: Buenos Aires na Era do Amor Virtual,Pitacos.cinematográficos,4.5,"Medianeras, que originalmente era um curta-metragem e depois ganhou a versão de longa, se enquadra nessa categoria. A abertura do filme já é um primor, mostrando o mar de prédios da capital portenha enquanto o narrador em off analisa que BA´s é uma cidade que dá as costas ao seu rio e que a urbanização é totalmente caótica, com prédios altos do lado de baixos, novos do lado de velhos e outros contrastes que deterioram o ambiente urbano. Parte daí a análise se tal caos no planejamento não se espelha em nossas vidas.[Leia a crítica completa no link do meu blog]",71.0,27.0
Medianeras: Buenos Aires na Era do Amor Virtual,Elaine L.,3.0,Comédia romântica bem água com açúcar. Típico filme para ver naqueles dias em que não temos nada melhor pra fazer... Legal.,13.0,17.0
Medianeras: Buenos Aires na Era do Amor Virtual,Luciano Deppa B,3.5,"Narrativas por vezes cansativas, Medianeiras sabe cativar e conduzir o espectador.",9.0,23.0
Medianeras: Buenos Aires na Era do Amor Virtual,milarodrigues,5.0,"Me recomendaram na mesma lista que estava Amelie Poulain, que ainda não vi, e as Vantagens de ser invisível, que me acabou. meu favorito a partir de hoje!",2.0,18.0
Medianeras: Buenos Aires na Era do Amor Virtual,Talles D.,4.0,"Filme que conta sobre um encontro bobo, como varios da vida!! O que torna um grande filme, na minha visao, sao os textos, analogias e metaforas utilizadas, que induzem a refletir sobre as paredes e condicionamentos a que estamos sujeitos!!!!",18.0,3.0
Medianeras: Buenos Aires na Era do Amor Virtual,Letisassi,0.5,"HORRÍVEL! Filme depressivo, com personagens problemáticos e depressivos, com uma cidade depressiva, vidas amorosas mal sucedidas, carreiras mal sucedidas... Mostra uma realidade DEPRESSIVA de Buenos Aires onde cachorros se suicidam, pessoas dependem de remédios para ansiedade, depressão... Uma cidade em que todo mundo fuma, nada e transa com manequins.E para piorar o filme muda o sentido no final, ao invés de continuar mostrando uma realidade, ele vira um conto de fadas onde tudo da certo no final. O QUE ESTÁ ERRADO POIS NA VIDA REAL NO FINAL TODO MUNDO MORRE!",2.0,
